word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms
market,/'mɑ:kit/,n.,"Thị trường, chợ, nơi mua bán sản phẩm...",My mother goes to the market every morning.,Mẹ tôi đi vào chợ mỗi buổi sáng.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/m/a/market1.png,,,
persuasion,/pə'sweiʤn/,n.,"Sự thuyết phục, làm cho tin (chú ý: persuade > convince)",The seminar teaches techniques of persuasion to increase sales.,Hội thảo giảng dạy những kỹ thuật thuyết phục để gia tăng doanh số.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/p/e/persuasion1.png,,,
productive,/prəˈdʌktɪv/,adj.,"Có năng suất, hiệu quả ",The managers had a very productive meeting and were able to solve many of the problems.,Người trưởng phòng có một cuộc họp rất hiệu quả và đã có thể làm sáng tỏ nhiều vấn đề.,Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/productive1.png,,,
satisfaction,"/,sætis'fækʃn/",n.,"Sự hài lòng, sự thỏa mãn,",Your satisfaction is guaranteed or you'll get your money back.,"Sự hài lòng của bạn được bảo đảm, hoặc là bạn sẽ được nhận lại tiền của mình.",Marketing,B1,https://audio.tflat.vn/data/cache/images/300x225/s/a/satisfaction2.jpg,,,
calculation,"/,kælkju'leiʃn/",n.,"‹sự/kết quả› tính, tính toán; ‹sự› dự tính, trù liệu","According to my calculations, I'll owe less money on my income taxes this year.","Theo tính toán của tôi, tôi sẽ chịu tiền thuế thu nhập ít hơn trong năm nay.",Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/c/a/calculation.jpg,,,
deadline,/ˈdedlaɪn/,n.,Thời hạn chót,The deadline for paying this years's taxes is just two weeks away.,Hạn chót cho việc nộp thuế cho năm nay chỉ còn cách 2 tuần.,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/deadline1.png,,,
file,/fail/,v.,"Sắp xếp, sắp đặt",to file a claim / complaint / petition / lawsuit (How to File a Lawsuit),nộp đơn yêu cầu / khiếu nại / kiến nghị / kiện (Cách Nộp một vụ kiện),Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/f/i/file2.png,,,
fill out,/A/,v.,"Hoàn tất, hoàn thành; điền vào (cho đầy đủ)",I usually ask someone to help me fill out my tax form.,Tôi thường đề nghị ai đó giúp tôi điền vào các biểu mẫu thuế cho tôi.,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/f/i/fill_out1.jpg,,,
give up,,v.,"Bỏ, từ bỏ, thôi; tạm dừng; đầu hàng",Ms. Gomez is so optimistic that she never wants to give up.,Cô Gomez lạc quan đến nỗi chưa bao giờ muốn bỏ cuộc.,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/g/i/give_up1.png,,,
joint,/dʒɔint/,adj.,"Chung, cùng",They were joint owners of the house (= they owned it together).,Họ là chủ sở hữu chung của ngôi nhà (= họ sở hữu nó với nhau).,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/j/o/joint1.png,,,
owe,/ou/,v.,"Nợ, mắc nợ, mang ơn",I owe Janet ten pounds.,Tôi nợ Janet 10 bảng.,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/o/w/owe1.png,,,
penalty,/'penlti/,n.,Khoản tiền phạt,The penalty for travelling without a ticket is $200.,Hình phạt cho việc đi du lịch mà không có vé là 200 đô.,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/p/e/penalty-n1.png,,,
preparation,"/,prepə'reiʃn/",n.,"‹sự› chuẩn bị, sửa soạn",They are making preparations for war.,Họ đang chuẩn bị cho chiến tranh.,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/preparation.jpg,,,
refund,/ri:'fʌnd/,"n, v.",(n) sự trả lại tiền,"With the tax refund, we bought two plane tickets.","Với số thuế được hoàn, chúng tôi đã mua hai vé máy bay.",Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/refund2.png,,,
spouse,/spauz/,n.,"Chồng, vợ",My spouse prepares the tax return for both of us.,Vợ/chồng tôi chuẩn bị bản khai báo thuế cho cả hai chúng tôi.,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/s/p/spouse2.png,,,
withhold,/wi 'hould/,v.,"Giấu, kìm lại, giữ lại",Do not withhold any information from your accountant or he will not be able to prepare your tax form correctly.,Đừng giấu diếm bất kỳ thông tin nào với người kế toán của bạn kẻo không anh ta không thể chuẩn bị biểu mẫu thuế cho bạn chính xác được.,Taxes,B1,https://audio.tflat.vn/data/cache/images/300x225/w/i/withhold1.png,,,
museum,/mju:'ziːəm/,n.,Viện bảo tàng,We can walk to the museum. It’s not far from here.,"Chúng ta có thể đi bộ tới viện bảo tàng, nó cách đây không xa lắm.",Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/m/u/museums1.jpg,,,
acquire,/ə'kwaiə/,v.,"Đạt được, thu được",He has acquired a good knowledge of English.,Cậu ấy đã đạt được một kiến thức tốt về tiếng Anh.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/acquire1.png,,,
admire,/ədˈmaɪə(r)/,v.,Ngưỡng mộ,What she did makes me admire her greatly.,Những gì cô ấy làm khiến tôi rất ngưỡng mộ cô ấy.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/a/d/admire1.png,,,
collection,/kəˈlekʃn/,n.,"Sự sưu tầm, bộ sưu tập",He won the fashion award for the best collection.,Ông ấy đã giành giải thưởng thời trang cho bộ sưu tập tốt nhất.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/collection1.png,,,
criticism,/'kritisizm/,n.,"Sự phê bình, chỉ trích",The revered artist's criticism of the piece was particularly insightful.,Lời phê bình về tác phẩm của một họa sĩ được kính trọng là đặc biệt sâu sắc.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/c/r/criticism1.png,,,
express,/iks'pres/,v.,"Biểu lộ, diễn đạt",The photograph expresses a range of emotions.,Bức ảnh biểu lộ đủ loại cảm xúc.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/express-v1.jpg,,,
fashion,/ˈfæʃn/,adj.,"Thời trang, mốt",The museum's classical architecture has never gone out of fashion.,Kiến trúc cổ điển của viện bảo tàng không bao giờ lỗi thời.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/f/a/fashion1.png,,,
leisure,/ˈliːʒər/,n.,Thời gian nhàn rỗi,We can go to the permanent collection at our leisure.,Chúng tôi có thể đi góp nhặt/sưu tập thường xuyên vào lúc chúng tôi rảnh rỗi.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/l/e/leisure1.png,,,
respond,/rɪˈspɒnd/,v.,"Hồi âm, phúc đáp",How did they respond to the news?,Họ phản ứng lại với tin tức đó như thế nào?,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/respond1.jpg,,,
schedule,/ˈskedʒuːl/,n.,"Chương trình, lịch trình",The TV schedules are filled with interesting films.,Lịch trình trên TV toàn là những phim hấp dẫn.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/s/c/schedule1.png,,,
significant,/sig'nifikənt/,adj.,"Có tầm quan trọng, đáng kể",There has been a significant increase in the number of women students in recent years.,Số lượng sinh viên nữ đã tăng đáng kể trong những năm gần đây.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/s/i/significant1.png,,,
specialize,/ˈspɛʃəˌlaɪz/,v.,"Chuyên môn hóa, chuyên về",He specialized in criminal law.,Anh ấy chuyên về pháp luật hình sự.,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/s/p/specialize1.jpg,,,
spectrum,/'spektrəm/,n.,Sự phân bổ theo tính chất,Red and violet are at opposite ends of the spectrum.,Màu đỏ và tím được phân bổ ở hai đầu của quang phổ. ,Museums,B1,https://audio.tflat.vn/data/cache/images/300x225/s/p/spectrum1.png,,,
busy,/ˈbɪzi/,adj.,Bận rộn,I’m very busy now.,Hiện tôi rất bận.,Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/b/u/busy1.png,,,
coincide,"/,kouin'said/",v.,Trùng hợp,"My cousin's wedding coincided with a holiday weekend, so it was a perfect time to rent a car and go for a drive.","Đám cưới của người anh/em bà con của tôi trùng với kỳ nghỉ lễ cuối tuần, vậy nó là một dịp lý tưởng để thuê ô-tô và đi chơi bằng xe.",Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/coincide1.png,,,
confusion,/kən'fju:ʤn/,n.,"Sự bối rối, sự nhầm lẫn","To avoid any confusion about renting the car, Yolanda asked her travel agent to make the arrangements on her behalf.","Để tránh bất kỳ nhầm lẫn nào trong việc thuê xe, Yolanda đã yêu cầu người đại lý du lịch thực hiện dàn xếp thay mặt cho cô ấy.",Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/confusion1.png,,,
contact,/ˈkɒntækt/,v.,"Tiếp xúc, liên hệ",Manuel contacted at least a dozen car rental agencies to get the best deal.,Manuel đã tiếp xúc với ít nhất một tá đại lý đại lý cho thuê xe để được giao dịch tốt nhất.,Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/contact1.png,,,
disappoint,"/,disə'pɔint/",v.,Làm thất vọng,Leila was disappointed to discover that no rental cars were available the weekend she wished to travel.,Leila thất vọng khi phát hiện ra rằng không có xe thuê vào dịp cuối tuần mà cô muốn đi du lịch.,Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/disappoint1.png,,,
intend,/in'tend/,v.,"Có ý định, có mục đích",Do you intend to return the car to this location or to another location?,Anh định quay xe về chỗ này hay là chạy đến chỗ khác?,Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/intend1.jpg,,,
license,/'laisəns/,n.,"Giấy phép, chứng chỉ, bằng",A driver's license allows you to operate a motor vehicle legally.,Giấy phép lái xe hạng A cho phép bạn lái xe mô tô một cách hợp pháp.,Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/l/i/license1.jpg,,,
nervously,/ˈnɜːvəsli/,adj.,"Bồn chồn, lo lắng","As we approached the city Lonnie started driving nervously, so I volunteered to drive that part of the trip.","Lúc mà chúng tôi đến thành phố thì Lonnie bắt đầu lái xe rất căng thẳng, vì vậy tôi tình nguyện lái đoạn đường đó của cuộc hành trình.",Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/n/e/nervously1.png,,,
optional,/ˈɒpʃ(ə)n(ə)l/,adj.,"Tùy ý lựa chọn, không bắt buộc",This exercise is optional; you don't have to do it.,Bài tập này là tùy chọn; bạn không cần phải làm điều đó.,Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/o/p/optional1.jpg,,,
tempt,/tempt/,v.,"Xúi giục, cám dỗ",I am tempted by the idea of driving across the country instead of flying.,Tôi bị cám dỗ bởi ý tưởng lái xe xuyên qua đất nước thay vì đi máy bay.,Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/t/e/tempt1.png,,,
thrill,/θril/,n.,"Sự rùng rợn, ly kỳ, sự hưng phấn","Just taking a vacation is thrill enough, even if we are driving instead of flying.","Hãy thực hiện một kỳ nghỉ có đủ sự rộn ràng lên, cho dù ta đang lái xe thay vì đi máy bay.",Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/t/h/thrill1.png,,,
tier,/'taiə/,n.,"Tầng, lớp, hạng","If you are on a budget, I suggest you think about renting a car from our lowest tier.","Nếu anh chỉ có một số tiền nhỏ, tôi đề nghị anh hãy suy nghĩ về việc thuê một chiếc xe thuộc hạng thấp nhất của chúng tôi.",Car Rentals,B1,https://audio.tflat.vn/data/cache/images/300x225/t/i/tier1.png,,,
basis,/ˈbeɪsɪs/,n.,"Cơ bản, cơ sở",She was chosen for the job on the basis of her qualifications.,Cô đã được lựa chọn cho công việc trên cơ sở trình độ của cô.,Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/b/a/basis-clone13.jpg,,,
complete,/kəmˈpliːt/,v.,Hoàn thành,We ordered some dessert to complete our meal.,Chúng tôi gọi một ít món tráng miệng để trọn vẹn bữa ăn của mình.,Eating Out,B1,https://audio.tflat.vn/data/images_example/300x225/w/e/we_ordered_ex1_56248cf37f8b9af80c011d81.jpg,,,
excite,/ik'sait/,v.,"Kích thích, kích động",Exotic flavor always excite me.,Những hương vị lạ/ngoại nhập luôn luôn kích thích tôi.,Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/excite1.png,,,
flavor,/ˈfleɪvər/,n.,"Hương vị, mùi thơm",The cook changed the flavor of the soup with a unique blend of herbs.,Người nấu bếp thay đổi mùi vị món súp bằng một sự pha trộn các loại cây cỏ độc đáo.,Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/f/l/flavor1.jpg,,,
forget,/fərˈɡet/,v.,Quên,"The waiter forgets bringing the rolls, annoying the customer.","Anh nhân viên phục vụ quên mang các ổ bánh mì, gây bực mình cho người khách.",Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/f/o/forget1.png,,,
ingredient,/in'gri:djənt/,n.,"Thành phần, nguyên liệu","We want to make a special cake. To do that, we need to buy all the ingredients.","Chúng tôi muốn làm một chiếc bánh đặc biệt. Để làm được điều đó, chúng tôi cần mua đầy đủ các nguyên liệu.",Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/ingredient1.png,,,
judge,/dʒʌdʒ/,v.,"Phán xét, đánh giá",You shouldn’t judge someone by their appearance alone.,Bạn không nên đánh giá ai đó chỉ qua vẻ bề ngoài của họ.,Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/j/u/judge1.jpg,,,
mix-up,/'miks'ʌp/,n.,"Hỗn độn, lộn xộn",There was a mix-up about the ingredients and the dish was ruined.,Đã có một sự lộn xộn về các thành phần và món ăn đã bị hỏng.,Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/m/i/mix-up1.jpg,,,
patron,/'peitrən/,n.,"Khách hàng quen, người bảo trợ",This restaurant has many loyal patrons.,Nhà hàng này có nhiều người khách hàng quen rất trung thành.,Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/p/a/patron1.jpg,,,
predict,/prɪˈdɪkt/,v.,"Dự báo, dự đoán trước",He predicts that the trend will continue.,Anh ta dự đoán rằng xu hướng này sẽ tiếp tục.,Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/predict1.png,,,
randomly,/['rændəmli]/,adv.,"Ngẫu nhiên, tình cờ",We randomly made our selections from the menu.,Chúng tôi chọn đại (các món ăn) từ thực đơn.,Eating Out,B1,https://audio.tflat.vn/data/cache/images/300x225/r/a/randomly1.png,,,
